App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
10 Best Foods for You,"I like eat delicious food. That's I'm cooking food myself, case ""10 Best Foods"" helps lot, also ""Best Before (Shelf Life)""",Positive,1.0,0.533333333
10 Best Foods for You,Best idea us,Positive,1.0,0.3
10 Best Foods for You,Best way,Positive,1.0,0.3
10 Best Foods for You,Greatest ever Completely awesome maintain health.... This must ppl there... Love it!!!,Positive,0.9921875,0.866666667
10 Best Foods for You,One greatest apps.,Positive,1.0,1.0
10 Best Foods for You,Very good Simply good,Positive,0.805,0.69
10 Best Foods for You,Good.!!,Positive,1.0,0.6
10 Best Foods for You,Best,Positive,1.0,0.3
10 Best Foods for You,great,Positive,0.8,0.75
10 Best Foods for You,Wonderful,Positive,1.0,1.0
10 Best Foods for You,10 best foods 4u Excellent chose foods,Positive,1.0,0.65
10 Best Foods for You,Best food Thank you recipe book,Positive,1.0,0.3
10 Best Foods for You,I like Superb,Positive,1.0,1.0
10 Best Foods for You,Great ideas,Positive,0.8,0.75
10 Best Foods for You,Best Best,Positive,1.0,0.3
10 Best Foods for You,Great Great,Positive,0.8,0.75
10 Best Foods for You,"Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1.0,0.833333333
10 Best Foods for You,"I like eat delicious food. That's I'm cooking food myself, case ""10 Best Foods"" helps lot, also ""Best Before (Shelf Life)""",Positive,1.0,0.533333333
10 Best Foods for You,Best idea us,Positive,1.0,0.3
10 Best Foods for You,Best way,Positive,1.0,0.3
10 Best Foods for You,Greatest ever Completely awesome maintain health.... This must ppl there... Love it!!!,Positive,0.9921875,0.866666667
10 Best Foods for You,One greatest apps.,Positive,1.0,1.0
10 Best Foods for You,Very good Simply good,Positive,0.805,0.69
10 Best Foods for You,Good.!!,Positive,1.0,0.6
10 Best Foods for You,Best,Positive,1.0,0.3
10 Best Foods for You,great,Positive,0.8,0.75
10 Best Foods for You,Wonderful,Positive,1.0,1.0
10 Best Foods for You,10 best foods 4u Excellent chose foods,Positive,1.0,0.65
10 Best Foods for You,Best food Thank you recipe book,Positive,1.0,0.3
10 Best Foods for You,I like Superb,Positive,1.0,1.0
10 Best Foods for You,Great ideas,Positive,0.8,0.75
10 Best Foods for You,Best Best,Positive,1.0,0.3
10 Best Foods for You,Great Great,Positive,0.8,0.75
10 Best Foods for You,"Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1.0,0.833333333
30 Day Fitness Challenge - Workout at Home,Some times exercises match designated body parts aim work on. But still great all.,Positive,0.8,0.75
30 Day Fitness Challenge - Workout at Home,Helped get ideal body I wanted,Positive,0.9,1.0
30 Day Fitness Challenge - Workout at Home,"Really good, shows workout moves!",Positive,0.875,0.6
7 Cups: Anxiety & Stress Chat,It's really awesome App! When I problems I always talk people make feel better. Thank you!,Positive,0.8125,0.75
7 Minute Workout,"Great app, 7 minutes definately makes sweat!",Positive,1.0,0.75
8fit Workouts & Meal Planner,Really great I would recommend it. Got sweating like heatwave. THANK YOU,Positive,0.8,0.75
8fit Workouts & Meal Planner,Honestly really great start someone overweight unfit looking change lifestyle.,Positive,0.8,0.75
Abs Training-Burn belly fat,I used stomach muscles killing me. I give five stars I happy it.,Positive,0.8,1.0
Abs Training-Burn belly fat,Just got today awesome everytime I squeeze belly I can't wait see results hope good,Positive,0.85,0.8
BetterMe: Weight Loss Workouts,As beginner looking gradually increase exercises tone amazing!! Really great gradual increase shows exercises.,Positive,0.86875,0.825
BetterMe: Weight Loss Workouts,It's great helps goals weight loss,Positive,0.8,0.75
BetterMe: Weight Loss Workouts,This helped much I happy body,Positive,0.8,1.0
Bike Computer - GPS Cycling Tracker,Great seems cut around 50min mark?,Positive,0.8,0.75
Bike Computer - GPS Cycling Tracker,Great would recommend bike riders,Positive,0.8,0.75
Binaural Beats Therapy,Awesome app..keep researching Also Id like make donations paypal accepted u.,Positive,1.0,1.0
Binaural Beats Therapy,I every night helps rest really good best binaural beats app!!!,Positive,0.85,0.45
Binaural Beats Therapy,"Binaural Beats for Awesome!r meditation, soothe nerves. Great!",Positive,1.0,0.75
Binaural Beats Therapy,"It works needs upgraded efficient. Otherwise, good work!",Positive,0.875,0.6
Brain Waves - Binaural Beats,It great mind focus !,Positive,1.0,0.75
"Calm - Meditate, Sleep, Relax",Now THIS truly wonderful app!,Positive,1.0,1.0
Calorie Counter & Diet Tracker,"This great tracking everything, home page keeps motivated. But lot nutrition info database incorrect. I've manually input lot nutrition facts.",Positive,0.8,0.75
Calorie Counter & Diet Tracker,This great keeping track food water intake. It also adjusts calorie limits exercise. This encouraging.,Positive,0.8,0.75
Calorie Counter & Diet Tracker,"This great tracking everything, home page keeps motivated. But lot nutrition info database incorrect. I've manually input lot nutrition facts.",Positive,0.8,0.75
Calorie Counter - EasyFit free,"Brilliant app, lost weight already result using 1 week.",Positive,0.9,1.0
Calorie Counter - Macros,"Great calculate macros meal prepping macro counting. Takes bit time need enter macros foods barcode scanner, apart great use.",Positive,0.8,0.75
Calorie Counter - Macros,This best macro counter I updated Samsung 8 stopped working. It says loading data becomes unresponsive. please fix!,Positive,1.0,0.3
Calorie Counter - Macros,This turned best tracking macros... I can't log without crashing. Been since updated. Seems incompatible 8+,Positive,1.0,0.3
Calorie Counter - Macros,"Great calculate macros meal prepping macro counting. Takes bit time need enter macros foods barcode scanner, apart great use.",Positive,0.8,0.75
Calorie Counter - Macros,This best macro counter I updated Samsung 8 stopped working. It says loading data becomes unresponsive. please fix!,Positive,1.0,0.3
Calorie Counter - Macros,This turned best tracking macros... I can't log without crashing. Been since updated. Seems incompatible 8+,Positive,1.0,0.3
